player_id,fixture_id,gameweek,season,value,transfers_in,transfers_out,transfers_balance
327,305,31,2526,53,0,8,-8
327,316,32,2526,53,0,10,-10
327,322,33,2526,53,0,6,-6
327,335,34,2526,53,0,5,-5
327,341,35,2526,53,0,9,-9
327,354,36,2526,53,0,10,-10
327,370,37,2526,53,0,6,-6
327,374,38,2526,53,0,7,-7
329,3,1,2526,55,0,0,0
329,17,2,2526,55,6489,16247,-9758
329,23,3,2526,55,2201,27040,-24839
329,37,4,2526,54,3343,18965,-15622
329,45,5,2526,54,1384,11031,-9647
329,51,6,2526,54,5051,7856,-2805
329,63,7,2526,53,3028,5690,-2662
329,74,8,2526,53,2657,6757,-4100
329,89,9,2526,53,3295,3882,-587
329,94,10,2526,53,1745,6916,-5171
329,105,11,2526,52,7737,1846,5891
329,115,12,2526,52,6460,3369,3091
329,129,13,2526,52,1616,5842,-4226
329,135,14,2526,52,3488,2792,696
329,145,15,2526,52,32198,1484,30714
329,153,16,2526,54,731918,5671,726247
329,165,17,2526,57,1508469,16750,1491719
329,180,18,2526,58,297437,189528,107909
329,185,19,2526,58,152029,126906,25123
329,195,20,2526,58,88390,218579,-130189
329,207,21,2526,58,151000,114949,36051
329,214,22,2526,59,536982,46692,490290
329,227,23,2526,60,214797,79169,135628
329,236,24,2526,61,284279,143194,141085
329,245,25,2526,61,194450,107919,86531
329,256,26,2526,60,40091,558981,-518890
329,268,27,2526,59,86597,226110,-139513
329,275,28,2526,59,324388,47944,276444
329,285,29,2526,60,326196,78006,248190
329,298,30,2526,60,73480,233029,-159549
329,305,31,2526,60,327640,31053,296587
329,316,32,2526,61,143797,336624,-192827
329,322,33,2526,60,62254,257280,-195026
329,335,34,2526,60,139130,85383,53747
329,341,35,2526,60,31506,329688,-298182
329,354,36,2526,59,49293,209156,-159863
329,370,37,2526,59,140751,87930,52821
329,374,38,2526,58,28260,252050,-223790
331,3,1,2526,50,0,0,0
331,17,2,2526,50,78,628,-550
331,23,3,2526,49,89,543,-454
331,37,4,2526,49,171,381,-210
331,45,5,2526,49,121,242,-121
331,51,6,2526,49,134,228,-94
331,63,7,2526,49,79,167,-88
331,74,8,2526,49,111,204,-93
331,89,9,2526,49,23,212,-189
331,94,10,2526,49,81,117,-36
331,105,11,2526,49,41,126,-85
331,115,12,2526,49,56,118,-62
331,129,13,2526,49,29,102,-73
331,135,14,2526,48,36,56,-20
331,145,15,2526,48,58,60,-2
331,153,16,2526,48,135,140,-5
331,165,17,2526,48,134,105,29
331,180,18,2526,48,134,102,32
331,185,19,2526,48,59,71,-12
331,195,20,2526,48,218,78,140
331,207,21,2526,48,172,88,84
331,214,22,2526,48,239,121,118
331,227,23,2526,48,126,124,2
331,236,24,2526,48,89,153,-64
331,245,25,2526,48,107,103,4
331,256,26,2526,48,60,172,-112
331,268,27,2526,48,6,206,-200
331,275,28,2526,48,41,50,-9
331,285,29,2526,48,48,52,-4
331,298,30,2526,48,90,51,39
331,305,31,2526,48,28,37,-9
331,316,32,2526,48,43,54,-11
331,322,33,2526,48,28,51,-23
331,335,34,2526,48,91,41,50
331,341,35,2526,48,35,57,-22
331,354,36,2526,48,40,60,-20
331,370,37,2526,48,104,29,75
331,374,38,2526,48,54,55,-1
332,3,1,2526,50,0,0,0
332,17,2,2526,50,204,793,-589
332,23,3,2526,50,843,937,-94
332,37,4,2526,50,1149,991,158
332,45,5,2526,50,2011,794,1217
332,51,6,2526,50,714,1227,-513
332,63,7,2526,50,779,704,75
332,74,8,2526,50,91,1976,-1885
332,89,9,2526,50,40,942,-902
332,94,10,2526,50,5437,634,4803
332,105,11,2526,50,382,2513,-2131
332,115,12,2526,50,60,2119,-2059
332,129,13,2526,50,93,600,-507
332,135,14,2526,50,83,336,-253
332,145,15,2526,50,129,277,-148
332,153,16,2526,50,351,631,-280
332,165,17,2526,50,232,508,-276
332,180,18,2526,49,516,301,215
332,185,19,2526,49,220,250,-30
332,195,20,2526,49,497,246,251
332,207,21,2526,49,282,283,-1
332,214,22,2526,49,382,350,32
332,227,23,2526,49,30,523,-493
332,236,24,2526,49,9,404,-395
332,245,25,2526,49,1,280,-279
332,256,26,2526,49,6,210,-204
332,268,27,2526,49,8,148,-140
332,275,28,2526,49,12,57,-45
332,285,29,2526,49,61,43,18
332,298,30,2526,49,55,58,-3
332,305,31,2526,49,52,37,15
332,316,32,2526,49,55,63,-8
332,322,33,2526,49,59,56,3
332,335,34,2526,49,164,51,113
332,341,35,2526,49,308,76,232
332,354,36,2526,49,325,188,137
332,370,37,2526,49,441,208,233
332,374,38,2526,49,789,232,557
424,7,1,2526,55,0,0,0
424,18,2,2526,55,26871,6086,20785
424,22,3,2526,55,18302,11398,6904
424,38,4,2526,55,23987,15757,8230
424,41,5,2526,55,2574,14651,-12077
424,57,6,2526,55,1434,13085,-11651
424,64,7,2526,55,1197,6653,-5456
424,76,8,2526,55,2221,4964,-2743
424,82,9,2526,54,1255,3601,-2346
424,96,10,2526,54,1180,3099,-1919
424,106,11,2526,53,507,3106,-2599
424,119,12,2526,53,641,2323,-1682
424,126,13,2526,53,449,1657,-1208
424,135,14,2526,52,208,1167,-959
424,147,15,2526,52,238,1352,-1114
424,155,16,2526,52,253,1842,-1589
424,167,17,2526,51,203,1247,-1044
424,178,18,2526,51,20,1215,-1195
424,189,19,2526,51,10,566,-556
424,197,20,2526,51,9,291,-282
424,208,21,2526,51,8,308,-300
424,216,22,2526,51,11,410,-399
424,228,23,2526,51,25,226,-201
424,236,24,2526,51,651,307,344
424,245,25,2526,51,1383,249,1134
424,256,26,2526,51,1078,356,722
424,268,27,2526,51,1132,414,718
424,275,28,2526,51,699,358,341
424,285,29,2526,51,3461,311,3150
424,298,30,2526,51,809,837,-28
